ID,Angle,Measure
27,70,0.4963
27,75,0.818533
27,80,0.628963
27,85,0
27,90,0
11,-90,0
11,-85,0
11,-80,0
11,-75,0
11,-70,1
11,-65,0.488411
11,-60,1
11,-55,1
11,-50,1
11,-45,0
11,-40,0
11,-35,0.476451
11,-30,0.666694
11,-25,0.501389
11,-20,0.536305
11,-15,0
11,-10,0
11,-5,0
11,0,0
11,5,0
11,10,0
11,15,0
11,20,0
11,25,0
11,30,0
11,35,0
11,40,0
11,45,0
11,50,0
11,55,0
11,60,0
11,65,0
11,70,0
11,75,0
11,80,0
11,85,0
11,90,0
10,-90,0
10,-85,0
10,-80,0
10,-75,0
10,-70,0
10,-65,0
10,-60,0
10,-55,0
10,-50,0
10,-45,0
10,-40,0
10,-35,0
10,-30,0
10,-25,0
10,-20,0
10,-15,0
10,-10,0
10,-5,0
10,0,0
10,5,0
10,10,0
10,15,0
10,20,0.013735
10,25,0.437404
10,30,0.358063
10,35,0.0935198
10,40,0.310295
10,45,0.0649993
10,50,0
10,55,0
10,60,0
10,65,0
10,70,0
10,75,0
10,80,0
10,85,0
10,90,0
37,-90,0
37,-85,0
37,-80,0
37,-75,0
37,-70,0
37,-65,0
37,-60,0
37,-55,0
37,-50,0
37,-45,0
37,-40,0
37,-35,0
37,-30,0
37,-25,0
37,-20,0
37,-15,0
37,-10,0
37,-5,0
37,0,0
37,5,0
37,10,0
37,15,0
37,20,0
37,25,0
37,30,0
37,35,0
37,40,0
37,45,0
37,50,0.0594011
37,55,0.768791
37,60,0.642683
37,65,0.601119
37,70,0
37,75,0
37,80,0
37,85,0
37,90,0
15,-90,0
15,-85,0.334467
15,-80,0.544798
15,-75,0.474975
15,-70,0.464315
15,-65,0.148252
15,-60,0
15,-55,0
15,-50,0
15,-45,0
15,-40,0
15,-35,0
15,-30,0
15,-25,0
15,-20,0
15,-15,0
15,-10,0
15,-5,0
15,0,0
15,5,0
15,10,0
15,15,0
15,20,0
15,25,0
15,30,0
15,35,0
15,40,0
15,45,0
15,50,0
15,55,0
15,60,0
15,65,0
15,70,0.455347
15,75,0.668588
15,80,0.57135
15,85,0.520862
15,90,0.582645
28,-90,0.453038
28,-85,0.683635
28,-80,0.536755
28,-75,0.507847
28,-70,0.322819
28,-65,0
28,-60,0
28,-55,0
28,-50,0
28,-45,0
28,-40,0
28,-35,0
28,-30,0
28,-25,0
28,-20,0
28,-15,0
28,-10,0
28,-5,0
28,0,0
28,5,0
28,10,0
28,15,0
28,20,0
28,25,0
28,30,0
28,35,0
28,40,0
28,45,0
28,50,0
28,55,0
28,60,0
28,65,0
28,70,0
28,75,0
28,80,0
28,85,0
28,90,0
